Arrival_time,Stop_id,Bus_id,Line_id,Arrival_delay,Dwell_time,Scheduled_travel_time,Upstream_stop_delay,Recurrent_delay
01/05/2022 07:06,10261,44417,3,69,0,82,33,99.92537313
01/05/2022 07:20,10261,45544,3,35,0,82,52,100.1911765
01/05/2022 07:35,10261,44410,3,7,0,82,10,99.68115942
01/05/2022 07:51,10261,41724,3,74,15,82,27,99.38571429
01/05/2022 20:16,10261,45544,3,-3,0,109,17,116.2985075
01/05/2022 20:46,10261,44413,3,-17,0,109,-15,115.5507246
01/05/2022 21:02,10261,45540,3,37,0,109,46,115.4285714
01/05/2022 21:17,10261,41724,3,0,26,109,16,108.761194
01/05/2022 21:31,10261,44417,3,-6,14,109,-36,108.1470588
01/05/2022 21:46,10261,45544,3,-39,0,109,-18,108.3913043
02/05/2022 06:04,10261,45530,3,100,0,82,32,98.42857143
02/05/2022 06:17,10261,44417,3,66,14,82,20,98.77702703
02/05/2022 06:26,10261,41727,3,-52,0,109,-7,98.87919463
02/05/2022 06:42,10261,44418,3,348,10,109,302,98.64666667
02/05/2022 06:46,10261,45529,3,-29,11,109,1,98.95364238
02/05/2022 06:57,10261,44414,3,171,9,109,169,98.58823529
02/05/2022 07:01,10261,45535,3,17,17,109,-8,98.61038961
02/05/2022 07:07,10261,45538,3,57,18,109,8,110.6289308
02/05/2022 07:12,10261,41728,3,-3,0,109,10,110.8125
02/05/2022 07:19,10261,41733,3,34,0,109,25,110.4074074
02/05/2022 07:24,10261,45530,3,-11,0,109,36,110.4539877
02/05/2022 07:31,10261,41729,3,22,13,109,2,110.1585366
02/05/2022 07:37,10261,44417,3,54,18,109,19,110.1939394
02/05/2022 07:44,10261,44410,3,30,14,109,10,110.2891566
02/05/2022 07:51,10261,44415,3,16,23,109,15,110.3173653
02/05/2022 07:59,10261,41727,3,99,19,109,46,110.1785714
02/05/2022 08:07,10261,44418,3,172,15,109,95,125.0748299
02/05/2022 08:14,10261,41732,3,151,0,109,61,125.3851351
02/05/2022 08:19,10261,45529,3,41,17,109,21,125.8791946
02/05/2022 08:34,10261,45535,3,89,17,109,19,125.9536424
02/05/2022 08:48,10261,41728,3,63,14,109,78,126.3464052
02/05/2022 08:54,10261,41733,3,37,0,109,54,126.0454545
02/05/2022 09:04,10261,45530,3,148,17,109,63,125.8258065
02/05/2022 09:12,10261,41729,3,116,19,109,85,118.0918367
02/05/2022 09:21,10261,44417,3,73,0,109,13,118.1212121
02/05/2022 09:29,10261,44415,3,38,11,109,16,118.63
02/05/2022 09:38,10261,41727,3,8,0,109,-6,118.6435644
02/05/2022 09:47,10261,44418,3,48,0,109,24,118.6862745
02/05/2022 09:57,10261,45529,3,49,20,109,45,118.8252427
02/05/2022 10:11,10261,44414,3,325,20,109,308,124.3706897
02/05/2022 10:16,10261,45538,3,71,10,109,-4,124.2136752
02/05/2022 10:27,10261,41728,3,226,71,109,72,124.6355932
02/05/2022 10:36,10261,45530,3,147,15,109,97,125.2016807
02/05/2022 10:44,10261,41729,3,76,30,109,92,125.3583333
02/05/2022 10:53,10261,44417,3,66,42,109,36,124.8429752
02/05/2022 11:02,10261,44415,3,61,0,109,83,124.6147541
02/05/2022 11:09,10261,41727,3,-31,0,109,1,127.7435897
02/05/2022 11:20,10261,44418,3,67,27,109,36,127.3135593
02/05/2022 11:26,10261,41730,3,-38,15,109,-7,127.1932773
02/05/2022 11:36,10261,45529,3,-23,19,137,-7,126.6583333
02/05/2022 11:48,10261,44414,3,146,19,137,103,126.4545455
02/05/2022 11:54,10261,45538,3,33,15,137,21,126.7377049
02/05/2022 12:03,10261,41728,3,25,17,137,38,126.796748
02/05/2022 12:12,10261,45530,3,28,0,137,14,129.6372549
02/05/2022 12:21,10261,41729,3,35,11,137,10,129.8446602
02/05/2022 12:29,10261,44417,3,-54,15,137,-10,130.0480769
02/05/2022 12:48,10261,44415,3,576,0,137,457,129.552381
02/05/2022 12:48,10261,41727,3,32,14,137,-9,130.745283
02/05/2022 13:05,10261,41730,3,2,0,137,17,132.4745763
02/05/2022 13:14,10261,45529,3,1,31,137,-23,132.3865546
02/05/2022 13:22,10261,44414,3,-1,15,137,-19,132.3666667
02/05/2022 13:32,10261,45538,3,46,20,137,12,132.4297521
02/05/2022 13:41,10261,41728,3,8,0,137,28,132.5819672
02/05/2022 13:49,10261,45530,3,-36,28,137,-18,132.4552846
02/05/2022 13:59,10261,41729,3,49,15,137,93,132.1209677
02/05/2022 14:09,10261,44417,3,91,17,137,110,135.4661017
02/05/2022 14:17,10261,44415,3,50,32,137,16,135.1764706
02/05/2022 14:26,10261,41727,3,70,51,137,7,135.2083333
02/05/2022 14:34,10261,44418,3,87,23,137,33,135.322314
02/05/2022 14:41,10261,41730,3,5,0,137,16,135.5901639
02/05/2022 14:49,10261,45529,3,30,26,137,22,135.5121951
02/05/2022 14:57,10261,41731,3,49,0,137,8,135.3790323
02/05/2022 15:06,10261,44414,3,62,29,137,9,136.443609
02/05/2022 15:12,10261,45538,3,-2,0,137,-8,136.6268657
02/05/2022 15:21,10261,41728,3,25,10,137,51,136.6740741
02/05/2022 15:27,10261,41732,3,-15,16,137,-5,136.4117647
02/05/2022 15:37,10261,45530,3,160,0,137,89,136.2262774
02/05/2022 15:43,10261,41729,3,66,23,137,27,136.7463768
02/05/2022 15:49,10261,44417,3,-34,15,163,-17,136.8633094
02/05/2022 15:57,10261,44416,3,-15,0,163,-1,136.8214286
02/05/2022 16:09,10261,44415,3,152,12,163,77,139.4090909
02/05/2022 16:14,10261,41727,3,-19,13,163,1,140.0601504
02/05/2022 16:22,10261,44418,3,-11,20,163,-36,139.9850746
02/05/2022 16:31,10261,41730,3,5,16,163,19,140.1925926
02/05/2022 16:37,10261,45529,3,-73,11,163,-32,140.1397059
02/05/2022 16:51,10261,41731,3,243,8,163,93,139.9270073
02/05/2022 16:54,10261,44414,3,-36,15,163,11,141.1231884
02/05/2022 17:09,10261,41728,3,-31,20,137,-58,120.7913043
02/05/2022 17:17,10261,41732,3,-9,12,137,-10,120.9913793
02/05/2022 17:27,10261,45530,3,45,31,137,-1,121.034188
02/05/2022 17:34,10261,41729,3,-32,10,137,-37,121.2966102
02/05/2022 17:52,10261,44415,3,53,17,109,29,121.3166667
02/05/2022 18:02,10261,41727,3,104,14,109,91,121.2727273
02/05/2022 18:11,10261,44418,3,68,20,109,20,117.38
02/05/2022 18:19,10261,45529,3,34,15,109,3,117.5742574
02/05/2022 18:29,10261,41731,3,90,0,109,55,117.6470588
02/05/2022 18:37,10261,44414,3,47,0,109,-5,117.9029126
02/05/2022 18:47,10261,45538,3,99,0,109,60,118.3173077
02/05/2022 18:56,10261,41728,3,66,0,109,28,118.6
02/05/2022 19:06,10261,41729,3,6,24,109,-14,117.6666667
02/05/2022 19:19,10261,44417,3,81,12,109,21,117.5176471
02/05/2022 19:30,10261,44415,3,57,16,109,25,117.9767442
02/05/2022 19:42,10261,44418,3,42,15,109,34,118.0574713
02/05/2022 19:54,10261,41731,3,36,18,109,19,117.875
02/05/2022 20:06,10261,44414,3,35,0,109,6,105.6904762
02/05/2022 20:18,10261,45538,3,29,15,109,-26,106.0705882
02/05/2022 20:32,10261,41729,3,13,0,109,16,106.5697674
02/05/2022 20:48,10261,44417,3,87,16,109,63,106.5632184
02/05/2022 21:03,10261,44415,3,89,14,109,30,106.6818182
02/05/2022 21:15,10261,41731,3,-83,0,109,-32,112.4242424
