"ID","time_car","cost_car","time_bus","cost_bus","access_bus","time_air","cost_air","access_air","service_air","time_rail","cost_rail","access_rail","service_rail","choice"
1,275,50,330,35,20,80,65,55,"food",120,45,5,"no-frills","air"
2,275,45,330,15,5,70,110,40,"wifi",170,55,25,"food","rail"
3,275,45,390,15,25,70,80,55,"no-frills",155,35,5,"no-frills","rail"
4,300,45,300,15,10,60,110,40,"wifi",155,65,20,"no-frills","rail"
5,390,35,390,35,10,60,95,45,"wifi",155,65,15,"food","rail"
6,275,40,360,30,20,50,80,50,"no-frills",155,55,5,"food","rail"
7,250,50,360,25,15,60,110,45,"food",120,65,20,"wifi","rail"
8,275,30,390,25,15,90,65,40,"no-frills",155,65,25,"wifi","car"
9,390,30,390,25,25,90,65,35,"food",120,65,15,"no-frills","air"
10,275,50,330,25,25,70,80,50,"no-frills",120,55,5,"food","air"
11,390,35,420,15,25,60,110,35,"wifi",130,55,15,"no-frills","air"
12,300,45,390,25,10,50,50,55,"wifi",170,45,5,"no-frills","rail"
13,345,30,345,35,5,50,110,45,"wifi",140,65,15,"no-frills","car"
14,250,40,300,30,15,80,80,40,"no-frills",140,75,20,"wifi","car"
15,390,30,390,15,10,70,95,45,"wifi",130,75,15,"food","air"
16,345,45,345,35,25,60,95,50,"food",120,45,5,"no-frills","rail"
17,250,45,390,20,20,90,50,50,"no-frills",120,75,5,"wifi","rail"
18,300,45,420,15,10,50,110,45,"wifi",130,75,15,"food","car"
19,390,30,420,15,20,90,65,35,"food",130,65,20,"no-frills","air"
20,250,45,390,15,10,80,65,50,"food",155,45,20,"no-frills","air"
21,390,40,390,15,10,60,110,35,"wifi",155,65,25,"no-frills","rail"
22,275,50,420,20,15,50,80,50,"no-frills",155,35,10,"food","rail"
23,345,50,360,30,20,50,80,55,"wifi",155,45,5,"food","rail"
24,390,35,390,35,25,50,95,35,"no-frills",120,75,15,"wifi","air"
25,300,30,390,15,5,80,95,45,"food",155,45,25,"no-frills","rail"
26,300,35,330,30,15,90,65,35,"food",155,45,20,"no-frills","air"
27,250,50,360,30,25,90,65,35,"food",120,55,25,"wifi","rail"
28,390,35,390,35,20,70,95,45,"no-frills",120,55,10,"no-frills","rail"
29,390,35,390,35,20,90,50,35,"no-frills",130,75,25,"wifi","car"
30,300,30,300,35,10,80,110,40,"food",170,55,25,"wifi","car"
31,390,35,390,35,5,50,80,55,"wifi",155,55,15,"no-frills","car"
32,300,45,330,35,20,80,95,45,"no-frills",120,55,5,"food","rail"
33,345,30,420,15,15,60,65,55,"no-frills",170,45,10,"wifi","rail"
34,345,30,420,20,15,80,80,50,"no-frills",120,75,10,"wifi","car"
35,250,50,360,20,5,80,80,40,"food",120,45,20,"wifi","car"
36,275,35,360,30,15,90,80,35,"wifi",170,35,20,"food","rail"
37,275,50,360,30,15,80,95,35,"no-frills",120,45,20,"wifi","rail"
38,300,45,300,30,10,80,50,55,"wifi",170,35,5,"food","air"
39,275,50,360,15,20,50,110,45,"wifi",130,65,15,"food","rail"
40,345,30,360,25,25,60,110,50,"food",140,75,5,"wifi","car"
