Text,Sentiment
Adayala road is clear,0
Traffic jam from parbat rd to nazim-ud-din rd islamabad,1
Mandra is clear,0
Fort street is clear,0
"Mashriq Hotel towards Fawara Chowk, City Saddar Road  is closed for traffic",1
Traffic jam from gulberg expy to margalla ave,1
Korang Rd road is free,0
Road open from Cantt Station to Lucky star,0
Zagid baig is clear,0
Traffic open from jaffar khan openali rd to service road S islamabad,0
Something wrong on 9th ave before Peshwar morr interchange  Feels like side effects of tabdeeli huge traffic jam,1
Please avoid Zainab Market #Sadder for now  Traffic jammed due to protests  #Karachi Time: 2:30p,1
There is no land sliding happen on road,0
PIMS Ibn-e-sina road is now free for Havey traffic,0
Traffic jam from sufi tabasum rd to faiz ahmed faiz rd islamabad,1
Marble Rd to Roomi Rd road is now free for bike riders,0
Dhoke Hassu road is free,0
Saagri is clear,0
Traffic open from lehtrar road to sanam rd,0
Madina Town road is now closed for Havey traffic,1
Traffic jam from main margalla rd to service rd N islamabad,1
Airport road to Gulberg Underpass is now free for bike riders,0
Saidpur Rd to Khayaban Sir Syed Rd road is closed,1
No rush near Shifa international,0
Saddar is closed due to fog in the morning,1
Range Rd to Marble Rd road is closed now due to emergency,1
Liaquat Road was blocked by the huge vehicles placed by the protestors,1
"Tower road is closed for traffic, traffic diversion from Jinnah bridge towards MT khan road, MA Jinnah road towards Baba-e-urdu cut while II Chandrigar road towards Uni centre",1
Dhoke Hassu to Range Rd road is now free for light traffic,0
Heavy traffic flow reported at Shafiq mor near Afroz Textile  Due to snap checking of Police and rangers,1
Kahuta Rd road is free now due to emergency,0
I-8 markaz is closed for traffic,1
No jams at Teachers town,0
Tarnol Phatak on Grand Trunk Rd (Road coming from Peshawar to Rawalpindi/Islamabad) are blocked due to PTI rally,1
"Road are closed due to Protest  All this due to some people who are sitting Faizabad, no govt n administration, traffic police is available anywhere, stay at home",1
Naval Anchorage Rd road is closed now due to emergency,1
Roads toward Serena Hotel is blocked at Serena Hotel signal  Please avoid that route,1
Bannu bazar have no jams,0
Tulsa road is clear,0
All entrance to Parliament and Pak secretariat closed for traffic,1
Huge traffic jam pwd,1
Faizabad is clear,0
Taimur road is clear,0
"Protest by employees & residents of Bahria Town underway at M9 Motorway near Bahria Town  Both tracks of M9 MotoTraffic jam reported at Jahangir roadrway is blocked  Massive traffic jam reported, avoid M9 for at least 3 hrs ",1
Pirwadhai Rd to Dhoke Hassu road is now closed for bike riders,1
Road is closed for traffic at star gate towards city,1
Saddar is cleared due to shifting of heavy traffic to another road,0
G11 entrance Kashmir Highway closed for traffic,1
Rehman town is clear,0
Traffic open from kpt underpass to Abdullah Haroon Road and Teen Talwar to Lilly bridge,0
Kahuta Rd road is now free for light traffic,0
Normal traffic after bridge construction near NUML university,0
Lawari Tunnel is open for all kind of traffics,0
Allama Iqbal Rd road is free now from heavy traffic jam,0
There is no traffic jam on Khasmir Higway,0
PIMS Ibn-e-sina road is free now due to emergency,0
Neelam road is opened properly due to proper following of lane systems,0
Faizabad Intersection on Express Highway and Murree Road are blocked due to PTI rally,1
traffic jam in tramri,1
There no traffic at lalamusa,0
Traffic jam from pitras bukhari to ashfaq ahmed rd islamabad,1
"Faizabad totally blocked ryt now , unable to enter Islamabad road from muree road 9:28 am",1
Tehreek-e-Labbaik Pakistan (TLP) workers on Wednesday staged sit-ins against the acquittal of Christian blasphemy convict Aasia Bibi in various parts of Islamabad and that led to massive traffic jams,1
On the kashmir highway sector G13 road is close due to construction,1
Golra Mor is totally blocked from both sides due to VIP route,1
Traffic open from kurram road to rohtas road islamabad,0
Koral road  is clear at 7pm,0
Construction of underpass to connect G7 and G8 has been started where there is no issue of traffic as both sectors are connected through two U-turns at Islamabad highway and flyovers of Kashmir highway and Jinnah Avenue,0
Bannu link road is clear,0
"Reports of protest at Fawara Chowk, Road closed from Shaheen Chowk to Fawara Chowk",1
Traffic open from lehtrar road to pahse 1 rd,0
Sadar have no traffic at 9 pm,0
"Traffic jam from Urdu University till jail Chowrangi Take alternative route, stadium road",1
Rawalpindi is almost jammed and blocked,1
D chok have no jams,0
Naval Anchorage Rd to Japan Rd road is free now due to emergency,0
"Due to protest by shopkeepers of Tariq road, routes towards Tariq road have been closed for traffic, Traffic from liberty to Tariq road has been diverted towards Khalid bin Walid and jheel Park and Traffic coming from Attehad towards Tariq road has been diverted towards jail Bridge  Please drive Carefully ",1
Massive traffic jam in front of Liaquat National Hospital and AKUH,1
Major road is opened from 4pm to 6 pm in the evening,0
Traffic open from potohar rd to service road EAST islamabad,0
Range Rd road is now free for bike riders,0
Accident near Naval Anchorage  May ALLAH keep the passengers safe,1
Normal traffic on IJP road at 9 AM near Mandi-mor,0
Traffic jam from faisal ave to swan rd,1
Westridge is closed due to political party protest,1
Faizabad to Stadium Rd road is free now due to emergency,0
Heavy Traffic Jam on Islamabad Expressway,1
Numl university have no rush today,0
No traffic at 26 number,0
Dhuma phatak is clear today no jams,0
No rush near Shiva international,0
Traffic jam from nipa to jauhar mor due to Aladin and neuple,1
T Chowk road is free now due to emergency,0
"Heavy Traffic on IJP road at 7:38 PM because truck cannot enter in capital at this time, so they are waiting on the IJP road ",1
khanapul is now free for Havey traffic,0
Gulberg Society is closed for both sides of traffic at the moment,1
Marble Rd road is closed,1
"After Zohar prayers, roads blocked with containers from Society signal towards Norrani kabab",1
No traffic at kashmir motorway,0
Traffic open from gulberg expy to main ave,0
